condition,w,sigma_d,seed,handoff,n_reached,w2
A0.001,0.4,0.05,0,2,200,0.03489336100369942
A0.001,0.4,0.05,1,1,200,0.04847454005220645
A0.001,0.4,0.05,1,2,200,0.034696458421951355
A0.001,0.4,0.05,2,1,200,0.043700165403245644
A0.001,0.4,0.05,2,2,200,0.061175322976238906
A0.001,0.4,0.05,3,1,200,0.0348008034235462
A0.001,0.4,0.05,3,2,200,0.05812703113572124
A0.001,0.4,0.05,4,1,200,0.03258145786281885
A0.001,0.4,0.05,4,2,200,0.03337700724566408
A0.001,0.4,0.1,0,1,200,0.036816142368653416
A0.001,0.4,0.1,0,2,200,0.05471330140466515
A0.001,0.4,0.1,1,1,200,0.050775960616897806
A0.001,0.4,0.1,1,2,200,0.05385245621042762
A0.001,0.4,0.1,2,1,200,0.024935874051426058
A0.001,0.4,0.1,2,2,200,0.0733666477006483
A0.001,0.4,0.1,3,1,200,0.0557864339427122
A0.001,0.4,0.1,3,2,200,0.07385179679012623
A0.001,0.4,0.1,4,1,200,0.031083551495089165
A0.001,0.4,0.1,4,2,200,0.042409972152177226
A0.003,0.1,0.0,0,1,200,0.030967000425951987
A0.003,0.1,0.0,0,2,200,0.019494907876780144
A0.003,0.1,0.0,1,1,200,0.019307262446803447
A0.003,0.1,0.0,1,2,200,0.014464374000846752
A0.003,0.1,0.0,2,1,200,0.023869413664514665
A0.003,0.1,0.0,2,2,200,0.016267963908097104
A0.003,0.1,0.0,3,1,200,0.02551924538365545
A0.003,0.1,0.0,3,2,200,0.02275695177408837
A0.003,0.1,0.0,4,1,200,0.01551008937076811
A0.003,0.1,0.0,4,2,200,0.016565279773649567
A0.003,0.1,0.02,0,1,200,0.02998825319007206
A0.003,0.1,0.02,0,2,200,0.01890252881969113
A0.003,0.1,0.02,1,1,200,0.02024538045897667
A0.003,0.1,0.02,1,2,200,0.017458402131224557
A0.003,0.1,0.02,2,1,200,0.024947744710737713
A0.003,0.1,0.02,2,2,200,0.01645069545266479
A0.003,0.1,0.02,3,1,200,0.02537841405300797
A0.003,0.1,0.02,3,2,200,0.023554233233910222
A0.003,0.1,0.02,4,1,200,0.017765257635500832
A0.003,0.1,0.02,4,2,200,0.012640946140392361
A0.003,0.1,0.05,0,1,200,0.025452212636654443
A0.003,0.1,0.05,0,2,200,0.02384224049450692
A0.003,0.1,0.05,1,1,200,0.020482095445642525
A0.003,0.1,0.05,1,2,200,0.016915706351795172
A0.003,0.1,0.05,2,1,200,0.02091762394300877
A0.003,0.1,0.05,2,2,200,0.02150243795936104
A0.003,0.1,0.05,3,1,200,0.024806443611668443
A0.003,0.1,0.05,3,2,200,0.0243335387559697
A0.003,0.1,0.05,4,1,200,0.02083384203744627
A0.003,0.1,0.05,4,2,200,0.014977889101658823
A0.003,0.1,0.1,0,1,200,0.030262355687844595
A0.003,0.1,0.1,0,2,200,0.02995785459922471
A0.003,0.1,0.1,1,1,200,0.017391282259341334
A0.003,0.1,0.1,1,2,200,0.027557768472083712
A0.003,0.1,0.1,2,1,200,0.026101872981619294
A0.003,0.1,0.1,2,2,200,0.036409361286793035
A0.003,0.1,0.1,3,1,200,0.026612664600061786
A0.003,0.1,0.1,3,2,200,0.03179401275394447
A0.003,0.1,0.1,4,1,200,0.021702756219403083
A0.003,0.1,0.1,4,2,200,0.025651236985297428
A0.003,0.2,0.0,0,1,200,0.0371689951097314
A0.003,0.2,0.0,0,2,200,0.023426003809253363
A0.003,0.2,0.0,1,1,200,0.0333046150299701
A0.003,0.2,0.0,1,2,200,0.029196650514652478
