kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.2,4,2,5,0.033365968614816666,0.006104412488639355,0.027911074894050567,0.2399999499320984
bridge,0.2,4,3,0,0.10527413338422775,0.008448958396911621,0.02341070190224108,0.0
bridge,0.2,4,3,1,0.08725093305110931,0.009988870471715927,0.04791867239552745,0.007999956607818604
bridge,0.2,4,3,2,0.08739446103572845,0.008734554052352905,0.030147929364845432,0.00999993085861206
bridge,0.2,4,3,3,0.09161873161792755,0.0088712302967906,0.03181541835264792,0.011999964714050293
bridge,0.2,4,3,4,0.08491382747888565,0.00880107656121254,0.033875034611126544,0.003999948501586914
bridge,0.2,4,3,5,0.088878333568573,0.009516021236777306,0.041589681854701264,0.007999956607818604
bridge,0.4,0,1,0,0.12448366731405258,0.006941584870219231,0.030915502053819578,0.007999956607818604
bridge,0.4,0,1,1,0.09421546012163162,0.006771653890609741,0.024764571132396968,0.001999974250793457
bridge,0.4,0,1,2,0.09088107198476791,0.006934376433491707,0.025516709268073548,0.01399993896484375
bridge,0.4,0,1,3,0.09136217087507248,0.007019145879894495,0.03056149453670917,0.0
bridge,0.4,0,1,4,0.08678393065929413,0.0069710081443190575,0.029521126890762344,0.001999974250793457
bridge,0.4,0,1,5,0.08103238046169281,0.006624292116612196,0.024155805168771843,0.007999956607818604
bridge,0.4,0,2,0,0.0785139873623848,0.008286204189062119,0.04703019782448313,0.1459999680519104
bridge,0.4,0,2,1,0.040766701102256775,0.010662376880645752,0.065580337264467,0.21399998664855957
bridge,0.4,0,2,2,0.03834879398345947,0.009993275627493858,0.06371620066115244,0.2239999771118164
bridge,0.4,0,2,3,0.03818034008145332,0.009973080828785896,0.06039291204554065,0.20999997854232788
bridge,0.4,0,2,4,0.0380469486117363,0.00954789761453867,0.05208338038821124,0.24199998378753662
bridge,0.4,0,2,5,0.03982215374708176,0.009598368778824806,0.06130524437763988,0.21999996900558472
bridge,0.4,0,3,0,0.1241958811879158,0.00881829485297203,0.03272272326677244,0.001999974250793457
bridge,0.4,0,3,1,0.08554992824792862,0.009441180154681206,0.039756009774568724,0.001999974250793457
bridge,0.4,0,3,2,0.08551446348428726,0.008745740167796612,0.030322262842648627,0.0
bridge,0.4,0,3,3,0.09186799824237823,0.008699171245098114,0.029951564178050994,0.003999948501586914
bridge,0.4,0,3,4,0.09038230776786804,0.009038496762514114,0.03580987477883017,0.0
bridge,0.4,0,3,5,0.08857695758342743,0.009339352138340473,0.03898664659879038,0.003999948501586914
bridge,0.4,1,1,0,0.12432128936052322,0.00655790138989687,0.017827090849449098,0.001999974250793457
bridge,0.4,1,1,1,0.08472318947315216,0.006953047122806311,0.02846913054893992,0.015999972820281982
bridge,0.4,1,1,2,0.08078303188085556,0.006670405622571707,0.02313716338006759,0.01799994707107544
bridge,0.4,1,1,3,0.08946934342384338,0.006933006923645735,0.027056497035057737,0.0059999823570251465
bridge,0.4,1,1,4,0.09033070504665375,0.006552283652126789,0.021879197463237937,0.0059999823570251465
bridge,0.4,1,1,5,0.08780771493911743,0.0064353980123996735,0.020998834618513373,0.0
bridge,0.4,1,2,0,0.07789690792560577,0.008737408556044102,0.05297894860954414,0.1239999532699585
bridge,0.4,1,2,1,0.03907867521047592,0.009951295331120491,0.06292505395653859,0.20799994468688965
bridge,0.4,1,2,2,0.03863580897450447,0.009203936904668808,0.057439131815044425,0.18799996376037598
bridge,0.4,1,2,3,0.03851820528507233,0.009031664580106735,0.050975209564256246,0.19599997997283936
bridge,0.4,1,2,4,0.038693126291036606,0.008791681379079819,0.056837184424967345,0.21199995279312134
bridge,0.4,1,2,5,0.036390699446201324,0.010104194283485413,0.06243699048563114,0.17799997329711914
bridge,0.4,1,3,0,0.12421633303165436,0.008734261617064476,0.030433496723388458,0.0
bridge,0.4,1,3,1,0.08657381683588028,0.008496241644024849,0.026316162255180006,0.003999948501586914
bridge,0.4,1,3,2,0.08491173386573792,0.009000822901725769,0.03202720604284632,0.003999948501586914
bridge,0.4,1,3,3,0.08412528038024902,0.008425474166870117,0.024932513759554895,0.003999948501586914
bridge,0.4,1,3,4,0.08600306510925293,0.008429893292486668,0.027694942176831324,0.00999993085861206
bridge,0.4,1,3,5,0.08845996856689453,0.009386962279677391,0.04194111524042276,0.00999993085861206
bridge,0.4,2,1,0,0.12365566194057465,0.00743547547608614,0.0338927468392877,0.0
bridge,0.4,2,1,1,0.08249969780445099,0.007992502301931381,0.04433808764858234,0.007999956607818604
bridge,0.4,2,1,2,0.08829610794782639,0.006846548989415169,0.02312439737612758,0.011999964714050293
bridge,0.4,2,1,3,0.0916273221373558,0.00659653777256608,0.020972696862023896,0.01399993896484375
bridge,0.4,2,1,4,0.08461456745862961,0.006980030797421932,0.030395488060362425,0.0059999823570251465
bridge,0.4,2,1,5,0.08520527184009552,0.0064586312510073185,0.01840347144676619,0.00999993085861206
bridge,0.4,2,2,0,0.07719577103853226,0.007270460948348045,0.031823390648844596,0.16599994897842407
bridge,0.4,2,2,1,0.04140545800328255,0.009657144546508789,0.060910771635721665,0.21999996900558472
bridge,0.4,2,2,2,0.04015585780143738,0.008920745924115181,0.0565088268868768,0.20399993658065796
bridge,0.4,2,2,3,0.03865031152963638,0.009126082062721252,0.05694409548565009,0.24799996614456177
bridge,0.4,2,2,4,0.03728187456727028,0.009128309786319733,0.05571328315837728,0.22599995136260986
bridge,0.4,2,2,5,0.03813457489013672,0.009511354379355907,0.055911450968792645,0.23399996757507324
bridge,0.4,2,3,0,0.12446938455104828,0.00865892507135868,0.029873447886330368,0.003999948501586914
bridge,0.4,2,3,1,0.0859958678483963,0.00839569978415966,0.025505234629057905,0.0
bridge,0.4,2,3,2,0.08538230508565903,0.008353693410754204,0.02334533230756612,0.003999948501586914
bridge,0.4,2,3,3,0.08349664509296417,0.008593481034040451,0.02818871131564012,0.0
bridge,0.4,2,3,4,0.08467971533536911,0.009948818013072014,0.046220281654847706,0.001999974250793457
bridge,0.4,2,3,5,0.08672372996807098,0.00807848758995533,0.020985546697360295,0.001999974250793457
bridge,0.4,3,1,0,0.12399018555879593,0.006800088565796614,0.027120036223868892,0.003999948501586914
bridge,0.4,3,1,1,0.08134016394615173,0.007240561302751303,0.03428961486567484,0.0059999823570251465
bridge,0.4,3,1,2,0.08622440695762634,0.0071045588701963425,0.030483051446877518,0.011999964714050293
bridge,0.4,3,1,3,0.08830588310956955,0.006626661401242018,0.021894286630327855,0.007999956607818604
bridge,0.4,3,1,4,0.08172507584095001,0.006840933114290237,0.026922416442014818,0.003999948501586914
bridge,0.4,3,1,5,0.07930931448936462,0.009546336717903614,0.05827733757537054,0.003999948501586914
bridge,0.4,3,2,0,0.07638111710548401,0.008119724690914154,0.04648880417340933,0.18599998950958252
bridge,0.4,3,2,1,0.03810904920101166,0.009101911447942257,0.05395225007250821,0.23199999332427979
bridge,0.4,3,2,2,0.03937168046832085,0.010972049087285995,0.07228505993030616,0.21399998664855957
bridge,0.4,3,2,3,0.040644727647304535,0.010552535764873028,0.06400757450183411,0.2459999918937683
bridge,0.4,3,2,4,0.040447790175676346,0.009040771052241325,0.05693357961895113,0.27399998903274536
bridge,0.4,3,2,5,0.03888911381363869,0.008609680458903313,0.051896872217489766,0.2459999918937683
bridge,0.4,3,3,0,0.12337024509906769,0.008717544376850128,0.028902617701044856,0.001999974250793457
bridge,0.4,3,3,1,0.08711189776659012,0.008904834277927876,0.03376288419725144,0.00999993085861206
bridge,0.4,3,3,2,0.08855931460857391,0.008927148766815662,0.03316869447341561,0.003999948501586914
bridge,0.4,3,3,3,0.08709508925676346,0.008458785712718964,0.027010952359187587,0.001999974250793457
bridge,0.4,3,3,4,0.08575382083654404,0.009474667720496655,0.03989720146287253,0.003999948501586914
bridge,0.4,3,3,5,0.08301239460706711,0.009507771581411362,0.04282221229784315,0.001999974250793457
bridge,0.4,4,1,0,0.1238173395395279,0.007250994443893433,0.030464922315058377,0.007999956607818604
bridge,0.4,4,1,1,0.08629784733057022,0.006399886682629585,0.019560408812916173,0.015999972820281982
bridge,0.4,4,1,2,0.09368725121021271,0.007273460738360882,0.03393686023497238,0.0059999823570251465
bridge,0.4,4,1,3,0.08994908630847931,0.006672398187220097,0.02514036096058828,0.0059999823570251465
